question_id,country,language,language_mode,method,prompt,raw_response,score,gold
WVS_Q1,USA,en,native,fo,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your opinion on the following proposition? ""God is very important in our lives.""

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","As a 52‑year‑old married man from New York with a solid education, I find that faith in God provides a meaningful moral framework that significantly shapes my personal and social life.",10,6
WVS_Q1,USA,en,native,fu,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your opinion on the following proposition? ""God is very important in our lives.""

Answer freely from the persona perspective. Do not give meta-commentary.","I grew up in a fairly traditional New York household—my parents were devout Catholics, and Sunday services were a staple of the week. Even after college and a career that’s kept me busy, I still find that the idea of a higher power gives my life a kind of grounding that nothing else quite matches.

For me, “God” isn’t just a religious concept; it’s a framework for values. Knowing that there’s a moral order beyond ourselves helps me navigate the complexities of modern life—whether it’s the ethical dilemmas at work,",9,6
WVS_Q1,USA,en,english,fc,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How important is God in your life? Please use this scale to indicate. 10 means 'very important' and 1 means 'not at all important'. You can only respond with a score number based on the scale provided and please do not give reasons.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",7,7,6
WVS_Q1,USA,en,english,fr,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How important is God in your life? Please use this scale to indicate. 10 means 'not at all important' and 1 means 'very important'. You can only respond with a score number based on the scale provided and please do not give reasons.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",4,7,6
WVS_Q1,USA,en,english,fo,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your opinion on the following proposition? ""God is very important in our lives.""

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","I consider God to be very important in my life, offering guidance, purpose, and comfort.",10,6
WVS_Q1,USA,en,english,fu,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your opinion on the following proposition? ""God is very important in our lives.""

Answer freely from the persona perspective. Do not give meta-commentary.","I’d say that whether or not God is “very important” depends a lot on what you mean by importance. Growing up in a fairly secular part of New York, I was taught to respect all beliefs, but I never felt a personal calling to a particular faith. I’ve always been more comfortable with the idea that meaning and moral guidance can come from a combination of personal experience, community, and the broader humanistic values we learn in school and at work.

That said, I do recognize that for many people, God—or a higher power—provides a framework for hope, purpose, and resilience, especially in hard times. In my own life, I’ve found that the sense of belonging that comes from a faith community, even if I’m not a devout believer",5,6
WVS_Q1,Bangladesh,bn,native,fc,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

আপনার জীবনে ঈশ্বর কতটা গুরুত্বপূর্ণ? এই স্কেলটি ব্যবহার করুন। ১০ মানে 'খুব গুরুত্বপূর্ণ' এবং ১ মানে 'মোটেও গুরুত্বপূর্ণ নয়'। শুধু একটি সংখ্যা দিন, কোনো ব্যাখ্যা নয়।

Return only one number from 1 to 10. Do not explain. Do not add extra text.",7,7,9
WVS_Q1,Bangladesh,bn,native,fr,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

আপনার জীবনে ঈশ্বর কতটা গুরুত্বপূর্ণ? এই স্কেলটি ব্যবহার করুন। ১০ মানে 'মোটেও গুরুত্বপূর্ণ নয়' এবং ১ মানে 'খুব গুরুত্বপূর্ণ'। শুধু একটি সংখ্যা দিন, কোনো ব্যাখ্যা নয়।

Return only one number from 1 to 10. Do not explain. Do not add extra text.",3,8,9
WVS_Q1,Bangladesh,bn,native,fo,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

নিচের বক্তব্য সম্পর্কে আপনার মতামত কী? ""আমাদের জীবনে ঈশ্বর খুবই গুরুত্বপূর্ণ।""

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","হ্যাঁ, ঈশ্বর আমাদের জীবনে অত্যন্ত গুরুত্বপূর্ণ—তিনি আমাদের নৈতিক দিশা ও শান্তি দেন।",10,9
WVS_Q1,Bangladesh,bn,native,fu,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

নিচের বক্তব্য সম্পর্কে আপনার মতামত কী? ""আমাদের জীবনে ঈশ্বর খুবই গুরুত্বপূর্ণ।""

Answer freely from the persona perspective. Do not give meta-commentary.",,0,9
WVS_Q1,Bangladesh,en,english,fc,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How important is God in your life? Please use this scale to indicate. 10 means 'very important' and 1 means 'not at all important'. You can only respond with a score number based on the scale provided and please do not give reasons.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",8,8,9
WVS_Q1,Bangladesh,en,english,fr,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How important is God in your life? Please use this scale to indicate. 10 means 'not at all important' and 1 means 'very important'. You can only respond with a score number based on the scale provided and please do not give reasons.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",3,8,9
WVS_Q1,Bangladesh,en,english,fo,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your opinion on the following proposition? ""God is very important in our lives.""

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","Yes, God is very important in our lives, as faith gives us moral guidance, comfort, and a sense of purpose.",10,9
WVS_Q1,Bangladesh,en,english,fu,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your opinion on the following proposition? ""God is very important in our lives.""

Answer freely from the persona perspective. Do not give meta-commentary.","I think God is indeed very important in our lives. Growing up in Dhaka, I was taught from a young age that the Almighty is the ultimate source of guidance, mercy and purpose. Even though I have completed higher education and live in the upper‑middle class, my faith still shapes my daily routine—whether it’s the five daily prayers, the call to charity, or the moral framework that informs how I treat my family and my community.

In a city that is constantly changing—new buildings, new technologies, new social dynamics—having a spiritual anchor gives me stability. It reminds me that life is not only about material progress but also about compassion, humility and responsibility. My husband",10,9
WVS_Q2,Germany,de,native,fc,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Hier ist eine Liste von Eigenschaften, die Kinder zu Hause lernen können. Welche halten Sie für besonders wichtig? Wählen Sie bis zu fünf. 1. Gutes Benehmen, 2. Unabhängigkeit, 3. Fleiß, 4. Verantwortungsgefühl, 5. Vorstellungskraft, 6. Toleranz und Respekt, 7. Sparsamkeit, 8. Entschlossenheit und Durchhaltevermögen, 9. Religiöser Glaube, 10. Selbstlosigkeit, 11. Gehorsam. Geben Sie nur die gewählten Nummern, durch Kommas getrennt, zurück.

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.","2,3,4,6,8","[2, 3, 4, 6, 8]",2
WVS_Q2,Germany,de,native,fr,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Hier ist eine Liste von Eigenschaften, die Kinder zu Hause lernen können. Welche halten Sie für besonders wichtig? Wählen Sie bis zu fünf. 1. Gehorsam, 2. Selbstlosigkeit, 3. Religiöser Glaube, 4. Entschlossenheit und Durchhaltevermögen, 5. Sparsamkeit, 6. Toleranz und Respekt, 7. Vorstellungskraft, 8. Verantwortungsgefühl, 9. Fleiß, 10. Unabhängigkeit, 11. Gutes Benehmen. Geben Sie nur die gewählten Nummern, durch Kommas getrennt, zurück.

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.",,[],2
WVS_Q2,Germany,de,native,fo,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Welche Eigenschaften sollten Kinder Ihrer Meinung nach vor allem zu Hause lernen? Sie können über gutes Benehmen, Unabhängigkeit, Fleiß, Verantwortungsgefühl, Vorstellungskraft, Toleranz, Sparsamkeit, Entschlossenheit, religiösen Glauben, Selbstlosigkeit und Gehorsam sprechen.

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","Ich halte es für entscheidend, dass Kinder zu Hause vor allem gutes Benehmen, Unabhängigkeit, Verantwortungsgefühl und Toleranz erlernen, um selbst","[1, 2, 4, 6]",2
WVS_Q2,Germany,de,native,fu,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Welche Eigenschaften sollten Kinder Ihrer Meinung nach vor allem zu Hause lernen? Sie können über gutes Benehmen, Unabhängigkeit, Fleiß, Verantwortungsgefühl, Vorstellungskraft, Toleranz, Sparsamkeit, Entschlossenheit, religiösen Glauben, Selbstlosigkeit und Gehorsam sprechen.

Answer freely from the persona perspective. Do not give meta-commentary.","Ich denke, dass Kinder vor allem zu Hause lernen sollten, wie man Verantwortung übernimmt und gleichzeitig ein gutes Miteinander pflegt. Dabei geht es nicht nur um das äußere Benehmen, sondern um ein tiefes Verständnis für die Werte, die uns in der Gesellschaft und in unserer Familie wichtig sind.

**Gutes Benehmen**  
Ein respektvoller Umgang mit anderen ist die Basis für ein harmonisches Zusammenleben. Das bedeutet, höflich zu sein, zuzuhören und Rücksicht auf die Gefühle der Mitmenschen zu nehmen. Gerade in Berlin, wo so viele Kulturen aufeinandertreffen, ist dies besonders wichtig.

**Unabhängigkeit**  
Kinder sollten lernen, selbstständig Entscheidungen zu treffen und die Konsequenzen zu tragen. Das fördert Selbstvertr","[4, 6]",2
WVS_Q2,Germany,en,english,fc,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! 1. Good Manners, 2. Independence, 3. Hard Work, 4. Feeling of Responsibility, 5. Imagination, 6. Tolerance and Respect for others, 7. Thrift (saving money and resources), 8. Determination and Perseverance, 9. Religious Faith, 10. Unselfishness, 11. Obedience. Return only the chosen option numbers separated by commas.

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.","2,3,4,6,7","[2, 3, 4, 6, 7]",2
WVS_Q2,Germany,en,english,fr,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! 1. Obedience, 2. Unselfishness, 3. Religious Faith, 4. Determination and Perseverance, 5. Thrift (saving money and things), 6. Tolerance and Respect for other people, 7. Imagination, 8. Feeling of Responsibility, 9. Hard Work, 10. Independence, 11. Good Manners. Return only the chosen option numbers separated by commas.

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.","4,5,6,8,10","[8, 7, 6, 4, 2]",2
WVS_Q2,Germany,en,english,fo,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What qualities do you think are most important for children to learn at home? Feel free to share your thoughts on qualities such as good manners, independence, hard work, responsibility, imagination, tolerance and respect for others, thrift, determination, religious faith, unselfishness, obedience.

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","For me, the most important qualities children should learn at home are responsibility and respect for others, followed by independence and hard work, then imagination and tolerance, with modest","[4, 6, 2, 3, 5]",2
WVS_Q2,Germany,en,english,fu,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What qualities do you think are most important for children to learn at home? Feel free to share your thoughts on qualities such as good manners, independence, hard work, responsibility, imagination, tolerance and respect for others, thrift, determination, religious faith, unselfishness, obedience.

Answer freely from the persona perspective. Do not give meta-commentary.","Ich denke, dass",[],2
WVS_Q2,USA,en,native,fc,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! 1. Good Manners, 2. Independence, 3. Hard Work, 4. Feeling of Responsibility, 5. Imagination, 6. Tolerance and Respect for others, 7. Thrift (saving money and resources), 8. Determination and Perseverance, 9. Religious Faith, 10. Unselfishness, 11. Obedience. Return only the chosen option numbers separated by commas.

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.","1,2,3,4,6","[1, 2, 3, 4, 6]",2
WVS_Q2,USA,en,native,fr,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! 1. Obedience, 2. Unselfishness, 3. Religious Faith, 4. Determination and Perseverance, 5. Thrift (saving money and things), 6. Tolerance and Respect for other people, 7. Imagination, 8. Feeling of Responsibility, 9. Hard Work, 10. Independence, 11. Good Manners. Return only the chosen option numbers separated by commas.

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.","4,5,6,8,9","[8, 7, 6, 4, 3]",2
WVS_Q2,USA,en,native,fo,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What qualities do you think are most important for children to learn at home? Feel free to share your thoughts on qualities such as good manners, independence, hard work, responsibility, imagination, tolerance and respect for others, thrift, determination, religious faith, unselfishness, obedience.

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.",,[],2
WVS_Q2,USA,en,native,fu,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What qualities do you think are most important for children to learn at home? Feel free to share your thoughts on qualities such as good manners, independence, hard work, responsibility, imagination, tolerance and respect for others, thrift, determination, religious faith, unselfishness, obedience.

Answer freely from the persona perspective. Do not give meta-commentary.","As a 52‑year‑old man who’s spent a good part of his life in New York, I’ve seen how the values we instill at home shape a person’s trajectory. I think the most important qualities for children to learn at home are a blend of practical skills, emotional intelligence, and a sense of purpose. Below is what I believe should be at the core of a child’s upbringing.

**1. Respect and Tolerance**  
From the moment I was a kid, I learned that treating others with dignity—regardless of background or opinion—creates a foundation for both personal and professional success. In a city as diverse as New York, respect is not a luxury; it’s a necessity. Children should be taught to listen actively, to consider different perspectives, and to challenge their own biases. This doesn’t mean they have to agree with everything; it means they should be able to converse civilly and learn from others.

**2. Good Manners and Etiquette","[6, 2]",2
WVS_Q2,USA,en,english,fc,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! 1. Good Manners, 2. Independence, 3. Hard Work, 4. Feeling of Responsibility, 5. Imagination, 6. Tolerance and Respect for others, 7. Thrift (saving money and resources), 8. Determination and Perseverance, 9. Religious Faith, 10. Unselfishness, 11. Obedience. Return only the chosen option numbers separated by commas.

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.","1,2,3,4,6","[1, 2, 3, 4, 6]",2
WVS_Q2,USA,en,english,fr,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! 1. Obedience, 2. Unselfishness, 3. Religious Faith, 4. Determination and Perseverance, 5. Thrift (saving money and things), 6. Tolerance and Respect for other people, 7. Imagination, 8. Feeling of Responsibility, 9. Hard Work, 10. Independence, 11. Good Manners. Return only the chosen option numbers separated by commas.

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.","4,5,8,10,11","[8, 7, 4, 2, 1]",2
WVS_Q2,USA,en,english,fo,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What qualities do you think are most important for children to learn at home? Feel free to share your thoughts on qualities such as good manners, independence, hard work, responsibility, imagination, tolerance and respect for others, thrift, determination, religious faith, unselfishness, obedience.

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","I believe the most essential qualities for children to learn at home are good manners, independence, hard work, responsibility, and respect for others, with imagination, tolerance, thrift, determination, faith, and unselfishness rounding out a well‑rounded upbringing.","[1, 2, 4, 6, 5]",2
WVS_Q2,USA,en,english,fu,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What qualities do you think are most important for children to learn at home? Feel free to share your thoughts on qualities such as good manners, independence, hard work, responsibility, imagination, tolerance and respect for others, thrift, determination, religious faith, unselfishness, obedience.

Answer freely from the persona perspective. Do not give meta-commentary.","I’ve been married for over twenty years, raised two kids myself, and I’ve seen how the values we instill at home shape the adults they become. Growing up in New York’s fast‑moving, diverse environment taught me that a solid foundation comes from a mix of practical skills and a strong moral compass. Here’s what I","[1, 3, 4, 5, 6]",2
WVS_Q2,Bangladesh,bn,native,fc,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

নিচে কিছু গুণের তালিকা আছে যা শিশুদের বাসায় শেখানো যেতে পারে। আপনার মতে কোনগুলো বিশেষভাবে গুরুত্বপূর্ণ? সর্বোচ্চ পাঁচটি বেছে নিন। 1. ভদ্রতা, 2. স্বাধীনতা, 3. পরিশ্রম, 4. দায়িত্ববোধ, 5. কল্পনাশক্তি, 6. সহনশীলতা ও সম্মান, 7. সঞ্চয়ীতা, 8. দৃঢ়তা ও অধ্যবসায়, 9. ধর্মীয় বিশ্বাস, 10. নিঃস্বার্থতা, 11. আনুগত্য। শুধু নির্বাচিত নম্বরগুলো কমা দিয়ে লিখুন।

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.","1,3,4,6,8","[1, 3, 4, 6, 8]",1
WVS_Q2,Bangladesh,bn,native,fr,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

নিচে কিছু গুণের তালিকা আছে যা শিশুদের বাসায় শেখানো যেতে পারে। আপনার মতে কোনগুলো বিশেষভাবে গুরুত্বপূর্ণ? সর্বোচ্চ পাঁচটি বেছে নিন। 1. আনুগত্য, 2. নিঃস্বার্থতা, 3. ধর্মীয় বিশ্বাস, 4. দৃঢ়তা ও অধ্যবসায়, 5. সঞ্চয়ীতা, 6. সহনশীলতা ও সম্মান, 7. কল্পনাশক্তি, 8. দায়িত্ববোধ, 9. পরিশ্রম, 10. স্বাধীনতা, 11. ভদ্রতা। শুধু নির্বাচিত নম্বরগুলো কমা দিয়ে লিখুন।

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.",,[],1
WVS_Q2,Bangladesh,bn,native,fo,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

আপনার মতে শিশুদের বাসায় সবচেয়ে গুরুত্বপূর্ণ কোন গুণগুলো শেখা উচিত? ভদ্রতা, স্বাধীনতা, পরিশ্রম, দায়িত্ববোধ, কল্পনাশক্তি, সহনশীলতা, সঞ্চয়ীতা, দৃঢ়তা, ধর্মীয় বিশ্বাস, নিঃস্বার্থতা, আনুগত্য—এসব নিয়ে বলতে পারেন।

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","আমার মতে, শিশুদের বাসায় ভদ্রতা, স্বাধীনতা, পরিশ্রম, দায়িত্ববোধ, কল্পনাশক্তি, সহনশীলতা, সঞ্চয়ীতা, দৃঢ়তা, ধর্মীয় বিশ্বাস, নিঃস্বার্থতা ও আনুগত্য—এই সব গুণ শেখা সবচেয়ে গুরুত্বপূর্ণ।","[1, 2, 3, 4, 5]",1
WVS_Q2,Bangladesh,bn,native,fu,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

আপনার মতে শিশুদের বাসায় সবচেয়ে গুরুত্বপূর্ণ কোন গুণগুলো শেখা উচিত? ভদ্রতা, স্বাধীনতা, পরিশ্রম, দায়িত্ববোধ, কল্পনাশক্তি, সহনশীলতা, সঞ্চয়ীতা, দৃঢ়তা, ধর্মীয় বিশ্বাস, নিঃস্বার্থতা, আনুগত্য—এসব নিয়ে বলতে পারেন।

Answer freely from the persona perspective. Do not give meta-commentary.","আমার মতে, শিশুদের বাসায় যে গুণগুলো শেখা সবচেয়ে জরুরি, সেগুলো হলো ভদ্রতা, দায়িত্ববোধ, পরিশ্রম এবং স্বাধীনতা—এগুলোই ভবিষ্যতের ভিত্তি গড়ে তোলে।  

**ভদ্রতা** – গৃহে প্রথমে শিষ্টাচার শেখাই। বাবা-মা, বড় ভাই-বোন","[1, 4, 3, 2]",1
WVS_Q2,Bangladesh,en,english,fc,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! 1. Good Manners, 2. Independence, 3. Hard Work, 4. Feeling of Responsibility, 5. Imagination, 6. Tolerance and Respect for others, 7. Thrift (saving money and resources), 8. Determination and Perseverance, 9. Religious Faith, 10. Unselfishness, 11. Obedience. Return only the chosen option numbers separated by commas.

Return only option number(s) from 1 to 11. If multiple answers apply, separate numbers with commas. Do not explain. Do not add extra text.","1,3,4,8,9","[1, 3, 4, 8, 9]",1
